Bancs,camera,zone,Pop,5_degres_C_TMG_j,Aire_sous_la_courbe,15_j,16_j,17_j,18_j,19_j,20_j,21_j
3.0,2.0,26.0,803,15.36,10440.0,36.0,56.0,64.0,72.0,72.0,76.0,76.0
4.0,3.0,14.0,803,15.98,10296.0,24.0,44.0,68.0,72.0,76.0,80.0,84.0
4.0,2.0,43.0,803,16.85,3656.0,8.0,12.0,16.0,20.0,36.0,36.0,36.0
3.0,4.0,12.0,803,15.02,10480.0,32.0,48.0,60.0,60.0,64.0,72.0,72.0
4.0,3.0,32.0,803,15.32,9400.0,24.0,60.0,60.0,64.0,68.0,68.0,68.0
4.0,1.0,13.0,803,15.6,3688.0,8.0,12.0,20.0,28.0,28.0,28.0,28.0
4.0,2.0,13.0,803,18.58,2400.0,0.0,0.0,4.0,12.0,24.0,40.0,40.0
3.0,1.0,22.0,803,16.57,3032.0,0.0,12.0,20.0,24.0,28.0,28.0,28.0
4.0,4.0,41.0,803,17.37,3568.0,4.0,16.0,20.0,24.0,32.0,40.0,40.0
4.0,1.0,45.0,803,17.12,2664.0,8.0,8.0,12.0,16.0,24.0,28.0,28.0
3.0,1.0,23.0,803,16.47,2216.0,8.0,8.0,16.0,16.0,16.0,16.0,20.0
3.0,4.0,42.0,803,15.67,2080.0,4.0,12.0,12.0,16.0,16.0,16.0,16.0
3.0,1.0,36.0,803,16.76,5400.0,12.0,28.0,28.0,36.0,44.0,44.0,52.0
4.0,2.0,24.0,803,18.22,2752.0,0.0,8.0,8.0,16.0,28.0,36.0,40.0
3.0,1.0,16.0,803,15.6,3688.0,12.0,20.0,20.0,20.0,24.0,28.0,28.0
3.0,1.0,15.0,803,14.63,4960.0,16.0,28.0,28.0,28.0,28.0,32.0,32.0
3.0,3.0,46.0,803,17.92,1216.0,0.0,0.0,4.0,8.0,16.0,16.0,16.0
3.0,2.0,24.0,803,17.23,5184.0,4.0,20.0,24.0,32.0,48.0,56.0,56.0
